,t,"R=0.1,L=1.0,C=1.0,I0=0.1,V0=0.3 ","R=0.5,L=0.25,C=0.3,I0=0.05,V0=0.6 ","R=0.7,L=0.1,C=0.1,I0=0.02,V0=0.9 ","R=0.07,L=0.2,C=0.2,I0=0.07,V0=1.0 ","R=0.2,L=0.1,C=1.0,I0=0.05,V0=0.4 ","R=0.12,L=0.3,C=0.7,I0=0.08,V0=0.6 ","R=0.6,L=0.6,C=0.6,I0=0.09,V0=0.2 ","R=0.2,L=0.4,C=0.3,I0=0.1,V0=0.3 "
454,11.350000000000001,0.18212823784021676,-7.150134661642697e-06,2.661800047472425e-18,-0.01334631438758032,-8.23643006785794e-06,0.050716144397131985,0.0008021927363182645,-0.012870930151673897
455,11.375,0.18173602889379506,-6.597900658815374e-06,1.3692334866233373e-18,-0.030219354283969574,-7.016600791421514e-06,0.04597202543351866,0.0007781060427786916,-0.01353244241840169
456,11.4,0.1812313619984513,-6.0190060889688e-06,2.0607980950432328e-19,-0.04647589328880542,-5.813510106792019e-06,0.04113900533228668,0.0007532801124191435,-0.0141157248514677
457,11.425,0.18061483295437916,-5.419453440186645e-06,-7.82092281281121e-19,-0.061868731009342266,-4.6336722722876985e-06,0.03623227743280313,0.0007277757571819342,-0.014618731526434574
458,11.450000000000001,0.17988710589701895,-4.8051202569150715e-06,-1.5670105795566459e-18,-0.07616623959672804,-3.483142159052572e-06,0.03126710211930466,0.0007016534506090297,-0.015039857254057033
459,11.475000000000001,0.1790489127118881,-4.181717491498288e-06,-2.136535160684708e-18,-0.08915582678845599,-2.367500762409658e-06,0.026258760973520045,0.0006749732325248814,-0.015377940410101827
460,11.5,0.17810105240858431,-3.5547512401257196e-06,-2.4927609052479747e-18,-0.10064707303320536,-1.291844307230107e-06,0.021222511320725355,0.0006477946168161969,-0.015632263435155114
461,11.525,0.17704439045445333,-2.9294880089418e-06,-2.6496127112788993e-18,-0.11047449679717859,-2.6077683841618885e-07,0.016173541299884516,0.0006201765023902596,-0.015802551030776858
462,11.55,0.1758798580684391,-2.3109236202863733e-06,-2.630152006833715e-18,-0.11849990832770325,7.215938283226704e-07,0.011126925585690344,0.000592177087386003,-0.015888966089950034
463,11.575000000000001,0.17460845147565507,-1.7037558341022853e-06,-2.463794545233607e-18,-0.1246143188899332,1.6516569346141542e-06,0.006097581887097455,0.0005638537867045563,-0.0158921034110247
464,11.600000000000001,0.17323123112324154,-1.1123607257098755e-06,-2.1836124198801408e-18,-0.12873937968624696,2.5262965385345098e-06,0.0011002283434221039,0.0005352631529187156,-0.01581298125521289
465,11.625,0.17174932085809336,-5.407728286264411e-07,-1.8238606679514777e-18,-0.1308283321997651,3.3428863680189108e-06,-0.0038506580647932453,0.0005064608006134842,-0.015653030818100506
466,11.65,0.17016390706706824,7.330979897097423e-09,-1.417833486671352e-18,-0.13086645945327557,4.099281941644533e-06,-0.00874088197711428,0.00047750133420269126,-0.015414083695559988
467,11.675,0.16847623778030524,5.286439022624437e-07,-9.961194242811216e-19,-0.12887103552047866,4.7938101380648724e-06,-0.0135565688781808,0.0004484382792596051,-0.015098357433824759
468,11.700000000000001,0.1666876217383047,1.0202380319365556e-06,-5.852910151538837e-19,-0.12489077844511859,5.42525640208306e-06,-0.018284202982477224,0.00041932401739248887,-0.014708439262283698
469,11.725000000000001,0.16479942742344314,1.4795696574754431e-06,-2.0703385389534065e-19,-0.11900481939399812,5.992849780581067e-06,-0.022910663680079185,0.0003902097246892393,-0.01424726811573105
470,11.75,0.16281308205661688,1.9044811871330697e-06,1.2230576373784042e-19,-0.11132120827421749,6.496245985321689e-06,-0.027423260449789193,0.00036114531374850683,-0.013718115060332093
471,11.775,0.1607300705597257,2.293199843238155e-06,3.917960289916764e-19,-0.10197498307049738,6.935508682056252e-06,-0.031809766151553905,0.0003321793793081127,-0.01312456224440264
472,11.8,0.15855193448473273,2.644333294484507e-06,5.956739008331297e-19,-0.09112583669931087,7.311089206448649e-06,-0.036058448615715485,0.0003033591474751919,-0.012470480501230051
473,11.825000000000001,0.15628027091004887,2.956862410952513e-06,7.328440142325351e-19,-0.07895542113532102,7.623804907135941e-06,-0.0401581004525237,0.0002747304285561278,-0.011760005736555605
474,11.850000000000001,0.15391673130501482,3.230131341037298e-06,8.061917959929866e-19,-0.06566433385484484,7.8748163148393e-06,-0.044098067011363255,0.00024633757347828565,-0.010997514237978241
475,11.875,0.1514630203632684,3.4638351214986945e-06,8.217797949339024e-19,-0.05146883618434603,8.065603333891022e-06,-0.047868272425327735,0.00021822343378959376,-0.010187597047414195
476,11.9,0.14892089480580165,3.6580050415849677e-06,7.879918160044636e-19,-0.03659735687523632,8.197940648924525e-06,-0.05145924368308688,0.00019042932521615258,-0.009335033540838051
477,11.925,0.14629216215453397,3.812991989649601e-06,7.146820557078526e-19,-0.02128683709860821,8.273872534853868e-06,-0.054862132676401026,0.00016299499475256772,-0.008444764361843847
478,11.950000000000001,0.14357867947723613,3.929448015927864e-06,6.123769683093081e-19,-0.005778975027737215,8.295687252731994e-06,-0.05806873617816038,0.00013595859125414058,-0.007521863857085441
479,11.975000000000001,0.14078235210466275,4.008306348233803e-06,4.915669219626039e-19,0.00968357077046301,8.265891207694107e-06,-0.061071513712386,0.00010935663949490882,-0.006571512162392947
480,12.0,0.1379051323207641,4.050760098357805e-06,3.621136327852239e-19,0.024860959789822692,8.187183038048783e-06,-0.06386360328426538,8.322401765042554e-05,-0.005598967088323924
481,12.025,0.13494901802685833,4.058239895983354e-06,2.3278858886720918e-19,0.03951987133898414,8.062427796754106e-06,-0.06643883494494213,5.7593938159311415e-05,-0.004609535953093133
482,12.05,0.13191605138066784,4.03239068410354e-06,1.1094776249696767e-19,0.05343707275069399,7.894631378088994e-06,-0.06879174217244563,3.249793191300337e-05,-0.003608547509263846
483,12.075000000000001,0.12880831741112775,3.9750479053171415e-06,2.3392845514809816e-21,0.06640279977193751,7.686915333383507e-06,-0.07091757105679745,7.965835718572176e-06,-0.0026013241082771575
484,12.100000000000001,0.1256279426098943,3.888213302145235e-06,-8.896629504528005e-20,0.0782238982514023,7.442492210285026e-06,-0.07281228728394516,-1.597421702464385e-05,-0.0015931542438754078
485,12.125,0.12237709350048913,3.774030546761528e-06,-1.6053886326012196e-19,0.08872668039268994,7.164641540288646e-06,-0.07447258091975323,-3.92958024980099e-05,-0.000589265611766693
486,12.15,0.11905797518602858,3.6347609064105088e-06,-2.1146399435407167e-19,0.09775945368349097,6.856686589226943e-06,-0.07589586900177514,-6.197420955334897e-05,0.0004052011815048667
